model_id,display_name,provider,curve_profile,difficulty_score,p_low,p_mid,p_mid_high,p_high,estimated_score,score_lower,score_upper
gpt-5.6-luna,GPT-5.6 Luna,OpenAI,efficient_fast,71,0.004331502020563871,0.08576149194138794,0.5753175647848623,0.33458944125318585,31.922056526657666,17.922056526657666,45.92205652665767
gpt-5.6-luna,GPT-5.6 Luna,OpenAI,efficient_fast,72,0.0038244836446372776,0.07653298517756979,0.5566733256581762,0.3629692055196167,30.296473269833964,16.29647326983396,44.29647326983396
gpt-5.6-luna,GPT-5.6 Luna,OpenAI,efficient_fast,73,0.0033766123817393634,0.06821458706281303,0.5360719703883394,0.39233683016710824,28.68375238103479,14.683752381034786,42.68375238103479
gpt-5.6-luna,GPT-5.6 Luna,OpenAI,efficient_fast,74,0.002981032729854838,0.060733961522110524,0.5137803709338464,0.42250463481418815,27.087009369567006,13.087009369567005,41.087009369567006
gpt-5.6-luna,GPT-5.6 Luna,OpenAI,efficient_fast,75,0.0026316739748845075,0.05402075133308937,0.49008572667664,0.4532618480153861,25.51041338033701,11.51041338033701,39.51041338033701
gpt-5.6-luna,GPT-5.6 Luna,OpenAI,efficient_fast,76,0.002323162522631206,0.048007470074845626,0.4652892831255388,0.48438008427698437,23.959014868664273,9.959014868664271,37.959014868664276
gpt-5.6-luna,GPT-5.6 Luna,OpenAI,efficient_fast,77,0.00205074353991741,0.04263012673273281,0.4396992140043342,0.5156199157230156,22.438516966760275,8.438516966760274,36.438516966760275
gpt-5.6-luna,GPT-5.6 Luna,OpenAI,efficient_fast,78,0.0018102110262026017,0.03782862807476739,0.41362300891441617,0.5467381519846138,20.95500796881727,6.95500796881727,34.95500796881728
gpt-5.6-luna,GPT-5.6 Luna,OpenAI,efficient_fast,79,0.0015978454940173137,0.03354700090677598,0.3873597884133949,0.5774953651858118,19.514675204349217,5.514675204349217,33.51467520434922
gpt-5.6-luna,GPT-5.6 Luna,OpenAI,efficient_fast,80,0.0014103584966180804,0.029733472038160347,0.36119299963232987,0.6076631698328917,18.123521405688038,4.123521405688035,32.12352140568804
gpt-5.6-luna,GPT-5.6 Luna,OpenAI,efficient_fast,81,0.0012448433020884053,0.026340438924701504,0.33538392329282674,0.6370307944803834,16.78710336505389,2.787103365053889,30.78710336505389
gpt-5.6-luna,GPT-5.6 Luna,OpenAI,efficient_fast,82,0.0010987310729246857,0.02332435898118268,0.31016635119907876,0.6654105587468139,15.510309420469918,1.5103094204699157,29.510309420469916
gpt-5.6-luna,GPT-5.6 Luna,OpenAI,efficient_fast,83,0.000969751967782595,0.020645580794865004,0.2857426841026164,0.692641983134736,14.297187611470068,0.2971876114700678,28.297187611470072
gpt-5.6-luna,GPT-5.6 Luna,OpenAI,efficient_fast,84,0.0008559006367451216,0.018268136114143685,0.2622815706782551,0.7185943925708561,13.150830903121202,0.0,27.150830903121204
gpt-5.6-luna,GPT-5.6 Luna,OpenAI,efficient_fast,85,0.0007554056327294667,0.016159507633997094,0.23991707812079233,0.7431680086124811,12.073320438550946,0.0,26.073320438550944
gpt-5.6-luna,GPT-5.6 Luna,OpenAI,efficient_fast,86,0.0006667023092434832,0.014290384283906499,0.21874927032089042,0.7662936430859596,11.065723003488289,0.0,25.065723003488287
